"k","alpha","ntop","lambda","nu","cindex","convergence","cutpoint_abs","z_cutpoint","lp_mean","lp_sd","cindex_dichot"
2,0,NA,0.349,0.056,0.599362995849821,TRUE,-5.89409924306997,0.8,-5.98230802169508,0.110260973281378,0.571542322169675
3,0,NA,0.349,0.056,0.589856191487308,TRUE,0.0758536625740928,1.4,-0.154764944847847,0.164727576729957,0.540874432969791
4,0,NA,0.349,0.056,0.632033587491555,TRUE,0.876438124746077,2,0.529317434025899,0.173560345360089,0.515321880127401
5,0,NA,0.349,0.056,0.602548016600714,TRUE,-2.21691664499622,1.4,-2.45656731193626,0.171179047814314,0.543021909082135
6,0,NA,0.349,0.056,0.641974712865554,TRUE,-7.81655333927104,1.4,-8.1731054936062,0.254680110239402,0.567874722517132
7,0,NA,0.349,0.056,0.651674548788727,TRUE,-2.38678083432108,0.6,-2.53628234043122,0.249169176850228,0.615384615384615
8,0,NA,0.349,0.056,0.65563169578226,TRUE,-2.14242763891627,1.4,-2.60530224597815,0.330624719329912,0.566837177878583
9,0,NA,0.349,0.056,0.651964096129717,TRUE,-8.79436781389668,1.4,-9.2828021036556,0.348881635542084,0.566258083196603
10,0,NA,0.349,0.056,0.653122285493678,TRUE,-4.72021909815401,1.4,-5.18775631822665,0.333955157194748,0.561504681015346
11,0,NA,0.349,0.056,0.64959945951163,TRUE,-3.58379159355211,0.8,-3.77323222525165,0.236800789624434,0.611741144677155
12,0,NA,0.349,0.056,0.653025769713348,TRUE,-6.75207670578971,1.2,-7.13223648633032,0.31679981711717,0.576923076923077
2,0.05,NA,0.349,0.056,0.643229418009845,TRUE,-7.21354146832365,0.6,-7.28024902471086,0.111179260645355,0.591738249203745
3,0.05,NA,0.349,0.056,0.613647331338674,TRUE,4.46126251057046,2,3.96984288069809,0.245709814936182,0.505235981082907
4,0.05,NA,0.349,0.056,0.652687964482193,TRUE,-9.48950361802642,0.8,-9.73332033401984,0.304770894991776,0.596877714506322
5,0.05,NA,0.349,0.056,0.647765659685359,TRUE,0.241713738445423,1,-0.081073090273119,0.322786828718542,0.578394942573111
6,0.05,NA,0.349,0.056,0.644870186275456,TRUE,-2.54936174260489,1.2,-2.73095381528635,0.151326727234553,0.555279413184056
7,0.05,NA,0.349,0.056,0.659878390116784,TRUE,-7.39284845859557,0.8,-7.65807855439285,0.331537619746603,0.600424669433452
8,0.05,NA,0.349,0.056,0.65563169578226,TRUE,-5.64674554646085,1.6,-6.20316111215805,0.347759728560749,0.547799440208474
9,0.05,NA,0.349,0.056,0.660264453238104,TRUE,-8.75473262125532,1,-9.20766343229814,0.452930811042821,0.618617894025673
10,0.05,NA,0.349,0.056,0.669095647138307,TRUE,-9.42029532992739,1,-9.90712990756646,0.486834577639071,0.610462310587781
11,0.05,NA,0.349,0.056,0.674404015056462,TRUE,-1.88460702827168,0.8,-2.22530247542439,0.425869308940886,0.622623298909372
12,0.05,NA,0.349,0.056,0.659540584885629,TRUE,-6.11786391473734,0.8,-6.42916138708359,0.389121840432814,0.594223530547245
2,0.1,NA,0.349,0.056,0.664800694913618,TRUE,-3.27845970523776,0.2,-3.31284222387737,0.171912593198044,0.609352379113985
3,0.1,NA,0.349,0.056,0.67218415210887,TRUE,-8.56619422125119,0.4,-8.72583830885871,0.399110219018806,0.637945179036773
4,0.1,NA,0.349,0.056,0.674017951935141,TRUE,-11.7812409284293,2,-12.53766482691,0.378211949240351,0.535638451886884
5,0.1,NA,0.349,0.056,0.671025962744909,TRUE,-12.6143685588367,0.8,-12.905605498503,0.364046174582838,0.597480938133385
6,0.1,NA,0.349,0.056,0.687674934851848,TRUE,-4.90048955163962,0.6,-5.05821400647276,0.262874091388568,0.617845767783032
7,0.1,NA,0.349,0.056,0.686130682366567,TRUE,-12.2374644333176,2,-13.0637201495636,0.413127858123009,0.535155872985233
8,0.1,NA,0.349,0.056,0.667551394653026,TRUE,0.771539316988466,2,0.21703442064133,0.277252448173568,0.532767107422063
9,0.1,NA,0.349,0.056,0.670881189074414,TRUE,-10.0495013015448,1.4,-10.7505593414405,0.500755742782591,0.568357301418782
10,0.1,NA,0.349,0.056,0.701959270340701,TRUE,-13.4996809164685,1,-13.8886728577675,0.388991941298969,0.597770485474375
11,0.1,NA,0.349,0.056,0.679422835633626,TRUE,-1.46904487721183,0.8,-1.84893152708611,0.47485831234285,0.619414149213396
12,0.1,NA,0.349,0.056,0.680822314448412,TRUE,-12.085634264828,1.4,-12.7529098754426,0.476625436153331,0.566378727922015
2,0.15,NA,0.349,0.056,0.680050188205772,TRUE,-2.9736116193864,2,-3.47097672455013,0.248682552581864,0.527603513174404
3,0.15,NA,0.349,0.056,0.680725798668082,TRUE,-7.46684219345981,1.8,-8.28960514408825,0.45709052812691,0.548547437506032
4,0.15,NA,0.349,0.056,0.684827719332111,TRUE,-14.3914732869019,0.4,-14.5648881413696,0.433537136169088,0.623805617218415
5,0.15,NA,0.349,0.056,0.691487308174887,TRUE,-15.8498828413038,1,-16.3949968632197,0.545114021915922,0.621971817392144
6,0.15,NA,0.349,0.056,0.713541163980311,TRUE,-4.58986780381631,2,-5.4041845378898,0.407158367036741,0.544035324775601
7,0.15,NA,0.349,0.056,0.702876170253837,TRUE,-16.4836682525809,2,-17.6818031269685,0.599067437193761,0.534986970369655
8,0.15,NA,0.349,0.056,0.707894990831001,TRUE,-13.154575624358,1.8,-13.9314754090185,0.431610991478029,0.55455554483158
9,0.15,NA,0.349,0.056,0.690666924042081,TRUE,-12.9417229084678,1.4,-13.7301072364414,0.563131662838296,0.576054434900106
10,0.15,NA,0.349,0.056,0.717257021523019,TRUE,-13.2078234287117,1.2,-13.7421055418241,0.445235094260326,0.585681883988032
11,0.15,NA,0.349,0.056,0.721262426406718,TRUE,-17.373644955162,1,-17.8210849386876,0.447439983525579,0.635170350352283
12,0.15,NA,0.349,0.056,0.687964482192839,TRUE,-12.1458385597249,1.2,-12.6826099788096,0.447309515903905,0.594923269954638
2,0.2,NA,0.349,0.056,0.686758034938712,TRUE,-11.1676952775106,1.6,-11.6589842239618,0.30705559153198,0.559188302287424
3,0.2,NA,0.349,0.056,0.685889392915742,TRUE,-17.222246494065,1.4,-17.8854960476432,0.473749681127241,0.565727246404787
4,0.2,NA,0.349,0.056,0.69534793938809,TRUE,-15.9779219044345,1.4,-16.6522551512002,0.481666604832628,0.573955216677927
5,0.2,NA,0.349,0.056,0.703600038606312,TRUE,-10.9427492548881,0.8,-11.3872563486997,0.555633867264442,0.620958401698678
6,0.2,NA,0.349,0.056,0.724881768169096,TRUE,-4.70347088991045,2,-5.69749739072691,0.497013250408231,0.54287713541164
7,0.2,NA,0.349,0.056,0.725846925972397,TRUE,-22.5874226411104,2,-23.9683847498588,0.690481054374215,0.545193514139562
8,0.2,NA,0.349,0.056,0.716243605829553,TRUE,-12.0449072037342,1.4,-12.70259069654,0.469773923432754,0.592196699160313
9,0.2,NA,0.349,0.056,0.716388379500048,TRUE,-15.4033840770437,0,-15.4033840770437,0.633470293773976,0.652639706592028
10,0.2,NA,0.349,0.056,0.727005115336357,TRUE,-12.9347445176242,1.4,-13.6526781809829,0.512809759541923,0.584933886690474
11,0.2,NA,0.349,0.056,0.783901167840942,TRUE,-9.45521940281866,1.2,-10.4092538692376,0.79502872201577,0.622912846250362
12,0.2,NA,0.349,0.056,0.725460862851076,TRUE,-16.8178267255591,1,-17.3984449313418,0.580618205782747,0.619076343982241
2,0.25,NA,0.349,0.056,0.690763439822411,TRUE,-12.7097532427011,2,-13.4402158082766,0.365231282787761,0.52632467908503
3,0.25,NA,0.349,0.056,0.707798475050671,TRUE,-7.41042356796958,1.4,-8.17231227956908,0.544206222571074,0.587636328539716
4,0.25,NA,0.349,0.056,0.704758227970273,TRUE,-17.1813220792392,1.4,-17.9172666285121,0.525674678052086,0.578853392529679
5,0.25,NA,0.349,0.056,0.719766431811601,TRUE,-10.4846951992487,0.4,-10.7224846005011,0.594473503131062,0.645039088891034
6,0.25,NA,0.349,0.056,0.733809477849628,TRUE,-8.14000147981538,1.6,-9.05531338536239,0.572069940966886,0.578974037255091
7,0.25,NA,0.349,0.056,0.746308271402374,TRUE,-24.6211967506974,1.2,-25.4873320415808,0.721779409069475,0.616204999517421
8,0.25,NA,0.349,0.056,0.72454396293794,TRUE,-11.0988220236522,1.2,-11.7286770967059,0.524879227544814,0.609352379113985
9,0.25,NA,0.349,0.056,0.739648682559598,TRUE,-15.944098700914,2,-17.387206072335,0.721553685710522,0.542563459125567
10,0.25,NA,0.349,0.056,0.778737573593282,TRUE,20.1109623893095,1.2,19.0850098259003,0.854960469507707,0.63476015828588
11,0.25,NA,0.349,0.056,0.80503812373323,TRUE,-10.1893050783513,1.2,-11.2438987975984,0.878828099372588,0.631285590193997
12,0.25,NA,0.349,0.056,0.82168709584017,TRUE,-25.6717052290602,1,-26.6295186749147,0.957813445854499,0.667913328829264
2,0.3,NA,0.349,0.056,0.698677733809478,TRUE,-13.7417021284339,2,-14.5882527622707,0.423275316918409,0.531319370717112
3,0.3,NA,0.349,0.056,0.715761026927903,TRUE,-7.70875091622509,1.2,-8.41720017572814,0.59037438291921,0.610751857928771
4,0.3,NA,0.349,0.056,0.710356143229418,TRUE,-17.5311473368027,1,-18.0929679376622,0.561820600859502,0.626942380079143
5,0.3,NA,0.349,0.056,0.744136666344947,TRUE,-12.1220801498929,1.6,-13.1682863895304,0.653878899773444,0.575475340218126
6,0.3,NA,0.349,0.056,0.737959656403822,TRUE,-10.0833882381342,1.4,-10.9620229500349,0.627596222786237,0.59743268024322
7,0.3,NA,0.349,0.056,0.764791043335585,TRUE,-22.7178856096519,2,-24.1971705462922,0.739642468320135,0.55226329504874
8,0.3,NA,0.349,0.056,0.778110221021137,TRUE,-19.3769225427012,2,-20.5942942651922,0.608685861245474,0.539354309429592
9,0.3,NA,0.349,0.056,0.757118038799344,TRUE,-19.779254308378,2,-21.249092376427,0.734919034024481,0.542177396004247
10,0.3,NA,0.349,0.056,0.798233761219959,TRUE,11.482288318597,2,9.69299849210697,0.894644913245007,0.540319467232893
11,0.3,NA,0.349,0.056,0.81652350159251,TRUE,-57.3399521347361,1.2,-58.4779160426613,0.948303256604319,0.62366084354792
12,0.3,NA,0.349,0.056,0.847698098639127,TRUE,-30.7849000555691,1.4,-32.3805441144717,1.13974575635902,0.60595019785735
